Season,No_Overall,No_Season,Title,Director,Writer,Original_Air_Date,Prod_code,US_Viewers_Mil
3,64,16,"""The One with the Morning After""",James Burrows,David Crane & Marta Kauffman,20-Feb-97,465264,28.3[7]
3,65,17,"""The One Without the Ski Trip""",Sam Simon,Shana Goldberg-Meehan & Scott Silveri,6-Mar-97,465267,25.8[7]
3,66,18,"""The One with the Hypnosis Tape""",Robby Benson,Seth Kurland,13-Mar-97,465269,28.1[7]
3,67,19,"""The One with the Tiny T-Shirt""",Terry Hughes,Adam Chase,27-Mar-97,465268,23.7[7]
3,68,20,"""The One with the Dollhouse""",Terry Hughes,Wil Calhoun,10-Apr-97,465270,24.4[7]
3,69,21,"""The One with a Chick and a Duck""",Michael Lembeck,Chris Brown,17-Apr-97,465271,23.2[7]
3,70,22,"""The One with the Screamer""",Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,24-Apr-97,465272,22.6[7]
3,71,23,"""The One with Ross's Thing""",Shelley Jensen,Ted Cohen & Andrew Reich,1-May-97,465274,24.2[7]
3,72,24,"""The One with the Ultimate Fighting Champion""",Robby Benson,Story by : Pang-Ni Landrum & Mark Kunerth,8-May-97,465273,23.1[7]
3,73,25,"""The One at the Beach""",Pamela Fryman,Story by : Pang-Ni Landrum & Mark Kunerth. Teleplay by : Adam Chase,15-May-97,465275,28.8[7]
4,74,1,"""The One with the Jellyfish""",Shelley Jensen,Wil Calhoun,25-Sep-97,466601,29.4[8]
4,75,2,"""The One with the Cat""",Shelley Jensen,Jill Condon & Amy Toomin,2-Oct-97,466602,25.5[8]
4,76,3,"""The One with the Cuffs""",Peter Bonerz,Seth Kurland,9-Oct-97,466603,24.0[8]
4,77,4,"""The One with the Ballroom Dancing""",Gail Mancuso,Ted Cohen & Andrew Reich,16-Oct-97,466604,24.3[8]
4,78,5,"""The One with Joey's New Girlfriend""",Gail Mancuso,Gregory S. Malins & Michael Curtis,30-Oct-97,466605,24.4[8]
4,79,6,"""The One with the Dirty Girl""",Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,6-Nov-97,466606,25.7[8]
4,80,7,"""The One Where Chandler Crosses the Line""",Kevin S. Bright,Adam Chase,13-Nov-97,466607,26.4[8]
4,81,8,"""The One with Chandler in a Box""",Peter Bonerz,Michael Borkow,20-Nov-97,466608,26.8[8]
4,82,9,"""The One Where They're Going to Party!""",Peter Bonerz,Ted Cohen & Andrew Reich,11-Dec-97,466609,23.9[8]
4,83,10,"""The One with the Girl from Poughkeepsie""",Gary Halvorson,Scott Silveri,18-Dec-97,466612,23.2[8]
